"","polling_firm","pollster","firm","sample_size","fieldwork_date","end_date","e_day","days_left","turnout","lead","PSOE","PP","Vox","Unidas Podemos","Cs","ERC–Sobiranistes","Más País","JxCat","PNV","EH Bildu","CUP","CC–NCa","BNG","NA+","PRC","headline","source"
"64","SocioMétrica/El Español","SocioMétrica","El Español",1206,"28 Dec–5 Jan 2021",2021-01-05,2023-12-10,1069,"",3.8,26.7,22.9,16.7,10.5,6.7,3.4,2.5,2.7,1.8,1.3,NA,0.8,0.6,0.3,0.3,"Pedro Sánchez y Pablo Iglesias pierden 18 escaños en un año pero retendrían el poder con las minorías","https://www.elespanol.com/espana/20210107/pedro-sanchez-pablo-iglesias-pierden-retendrian-minorias/549196091_0.html"
"65","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1321,"28 Dec–2 Jan 2021",2021-01-02,2023-12-10,1072,"",4.3,27.3,23,16,11.2,6.8,3.3,1.7,2.4,1.5,1.3,0.8,0.5,0.6,0.4,0.3,"ElectoPanel (3E): Casado sigue subiendo a costa de Abascal","https://electomania.es/ep3e21/"
"66","NC Report/La Razón","NC Report","La Razón",1000,"18–30 Dec 2020",2020-12-30,2023-12-10,1075,"62.8",1.9,26.2,24.3,15.2,11.7,6.7,3.5,2.2,2.3,1.5,1.2,1,0.4,1,0.4,0.2,"PSOE y Podemos se enfrentan al virus de la abstención","https://www.larazon.es/espana/20210103/4qz6k6qy7fgxnnjgy2vzvfhzuq.html"
"67","Sigma Dos/El Mundo","Sigma Dos","El Mundo",1144,"22–29 Dec 2020",2020-12-29,2023-12-10,1076,"",2.7,27.9,25.2,13.5,10.8,7.6,3.3,1,2.1,1.9,NA,NA,NA,NA,NA,NA,"Casado se sitúa a menos de tres puntos de Sánchez con Podemos en retroceso","https://www.elmundo.es/espana/2021/01/02/5ff0dc2e21efa0e9238b4582.html"
"68","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1413,"21–25 Dec 2020",2020-12-25,2023-12-10,1080,"",4.7,27.4,22.7,16.3,11.3,6.7,3.3,1.7,2.4,1.5,1.3,0.8,0.5,0.6,0.4,0.3,"ElectoPanel (27D): el bipartidismo supera el 50%","https://electomania.es/ep27d20/"
"69","KeyData/Público","KeyData","Público",NA,"24 Dec 2020",2020-12-24,2023-12-10,1081,"67.3",4.2,27,22.8,15.6,11.1,7.5,3.5,2.3,2.2,1.6,1.1,0.9,0.5,NA,NA,NA,"El bloque de investidura mantiene sus opciones para sostener un gobierno de izquierda pese al desgaste de PSOE y UP","https://www.publico.es/politica/bloque-investidura-mantiene-opciones-sostener-gobierno-izquierda-pese-desgaste-psoe-up.html"
"70","Invymark/laSexta","Invymark","laSexta",NA,"14–18 Dec 2020",2020-12-18,2023-12-10,1087,"",4.4,27.4,23,16.1,10.2,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barómetro laSexta. El PSOE lidera en intención de voto a más de 4 puntos de distancia del PP","https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-lidera-en-intencion-de-voto-con-mas-de-4-puntos-de-distancia-del-pp_202012205fdf4e76ae19b30001f68e10.html"
"71","DYM/Henneo","DYM","Henneo",1000,"15–17 Dec 2020",2020-12-17,2023-12-10,1088,"",1.1,24,22.9,17.4,10.4,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PSOE y UP rebajan el desgaste, pero siguen lejos del 10-N","https://www.20minutos.es/noticia/4525047/0/psoe-y-up-rebajan-el-desgaste-pero-siguen-lejos-del-10-n/"
"72","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1413,"15–17 Dec 2020",2020-12-17,2023-12-10,1088,"",5,27.3,22.3,16.6,11.4,6.5,3.4,1.6,2.5,1.6,1.3,0.8,0.5,0.7,0.4,0.3,"ElectoPanel (18D): menos distancia entre UP y Vox, que entre Vox y el PP","https://electomania.es/ep18d20/"
"73","Celeste-Tel/Onda Cero","Celeste-Tel","Onda Cero",1100,"9–15 Dec 2020",2020-12-15,2023-12-10,1090,"64.5",3.8,27.1,23.3,14.9,12,6.5,3.8,2.7,2.2,1.6,1.1,1,0.5,0.9,0.4,0.3,"Estudio electoral de expectiva de voto al Congreso de los Diputados. Ámbito nacional. Diciembre de 2020","https://www.celeste-tel.es/wp-content/uploads/2020/12/Bar%C3%B3metro-Electoral-Mensual-Diciembre2020.pdf"
"74","GAD3/COPE","GAD3","COPE",2005,"30 Nov–14 Dec 2020",2020-12-14,2023-12-10,1091,"64",2.8,28,25.2,13.1,9.5,7.1,3.4,1.4,1.8,1.7,1.5,0.8,0.6,1,0.4,0.3,"Encuesta GAD3: Casado recorta distancias con Sánchez y se queda cerca del sorpasso","https://www.cope.es/programas/herrera-en-cope/noticias/michavila-cope-con-110-escanos-esta-tres-puntos-los-socialistas-20201216_1047979"
"75","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1532,"7–11 Dec 2020",2020-12-11,2023-12-10,1094,"",5.7,27.5,21.8,17,11.6,6.3,3.4,1.5,2.6,1.6,1.3,0.8,0.5,0.7,0.4,0.2,"ElectoPanel (13D): Casado, a medio camino entre PSOE y Vox","https://electomania.es/ep13d20/"
"76","CIS","CIS",NA,3817,"1–9 Dec 2020",2020-12-09,2023-12-10,1096,"",10.3,29.5,19.2,14,10.8,10.5,2.9,2.4,1.7,1.4,1.2,0.8,0.5,0.5,0.4,0.1,"Barómetro de diciembre 2020 (Estudio nº 3303. Diciembre 2020)","http://datos.cis.es/pdf/Es3303marMT_A.pdf"
"77","Simple Lógica","Simple Lógica",NA,1065,"30 Nov–9 Dec 2020",2020-12-09,2023-12-10,1096,"64.8",8,27.9,19.9,16.2,11.6,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intención de voto y valoración de líderes políticos (diciembre 2020)","https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-diciembre-2020/"
"78","Sigma Dos/Antena 3","Sigma Dos","Antena 3",NA,"7 Dec 2020",2020-12-07,2023-12-10,1098,"",3,28.5,25.5,13.4,12.1,7,3.3,0.8,2.1,1.9,NA,NA,NA,NA,NA,NA,"Barómetro: El PSOE seguiría siendo el partido más votado y el PP sube con fuerza","https://www.antena3.com/noticias/espana/barometro-psoe-seguiria-siendo-partido-mas-votado-sube-fuerza_202012075fcde90455a6d40001e6a3e3.html"
"79","Hamalgama Métrica/OKDiario","Hamalgama Métrica","OKDiario",1000,"2–5 Dec 2020",2020-12-05,2023-12-10,1100,"",2.4,26.2,23.8,15.9,13,5.3,3.7,NA,NA,NA,NA,NA,NA,NA,0.4,NA,"PSOE y Podemos pierden 15 escaños, el PP sube 10 y Vox logra 6 diputados más","https://okdiario.com/espana/pp-estanca-101-escanos-psoe-conserva-108-pese-sus-escandalos-podemos-sigue-cayendo-6542393"
"80","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1670,"2–5 Dec 2020",2020-12-05,2023-12-10,1100,"",5.6,27.2,21.6,17.2,11.9,6.4,3.3,1.5,2.6,1.6,1.3,0.8,0.5,0.7,0.4,0.2,"ElectoPanel (6D): el PP sigue subiendo, Cs sigue bajando y UP ya casi le duplica","https://electomania.es/ep6d20/"
"81","SW Demoscopia/infoLibre","SW Demoscopia","infoLibre",1237,"26 Nov–5 Dec 2020",2020-12-05,2023-12-10,1100,"",7.7,28.4,20.7,17.2,11.1,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"El PSOE mantiene su ventaja de más de 30 escaños sobre el PP y la derecha suma ocho diputados gracias al avance de Vox","https://www.infolibre.es/noticias/politica/2020/12/09/el_psoe_mantiene_ventaja_mas_escanos_sobre_la_derecha_sube_aunque_sin_alcanzar_mayoria_114202_1012.html"
"82","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1310,"22–27 Nov 2020",2020-11-27,2023-12-10,1108,"",5.8,27.2,21.4,17.4,11.8,6.6,3.3,1.5,2.5,1.6,1.3,0.8,0.5,0.7,0.4,0.3,"ElectoPanel (29N): UP vuelve a los 30 escaños. Vox se recupera y el PP sigue su ascenso. Coalición Canaria, fuera del Congreso","https://electomania.es/ep29n20/"
"83","KeyData/Público","KeyData","Público",NA,"24 Nov 2020",2020-11-24,2023-12-10,1111,"66.9",4.9,27.3,22.4,15.9,10.8,6.9,3.6,2.4,2.2,1.7,1.1,0.9,0.4,NA,NA,NA,"El Gobierno de coalición sufre desgaste pero se mantiene un año después de las elecciones, según los sondeos","https://www.publico.es/politica/encuestas-electorales-gobierno-coalicion-sufre-desgaste-mantiene-ano-despues-elecciones-sondeos.html"
"84","DYM/Henneo","DYM","Henneo",1001,"18–20 Nov 2020",2020-11-20,2023-12-10,1115,"",0.1,23.6,23.5,17.2,9.8,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PSOE y Unidas Podemos acentúan su desgaste y suben PP, Vox y Ciudadanos","https://www.20minutos.es/noticia/4488629/0/gobierno-acusa-gestion-coronavirus-pp-psoe/"
"85","ElectoPanel/Electomanía","ElectoPanel","Electomanía",2398,"16–20 Nov 2020",2020-11-20,2023-12-10,1115,"",6.1,27.2,21.1,17,11.7,6.4,3.4,2.5,2.7,1.5,1.3,0.7,0.5,0.7,0.4,0.2,"ElectoPanel (22N): subida del bloque de izquierdas","https://electomania.es/ep22n20/"
"86","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1290,"10–13 Nov 2020",2020-11-13,2023-12-10,1122,"",5.9,26.7,20.8,17.4,11.5,6.9,3.3,2.5,2.7,1.5,1.3,0.7,0.5,0.7,0.4,0.2,"ElectoPanel (15N): goteo de apoyos a la derecha. Más País logra el segundo escaño","https://electomania.es/ep15n20/"
"87","CIS","CIS",NA,3853,"3–12 Nov 2020",2020-11-12,2023-12-10,1123,"",11.8,30.4,18.6,13.2,11.4,9.5,3.2,1.8,1.7,1.5,0.7,0.7,0.4,0.6,0.4,NA,"Barómetro de noviembre 2020 (Estudio nº 3300. Noviembre 2020)","http://datos.cis.es/pdf/Es3300marMT_A.pdf"
"88","Simple Lógica","Simple Lógica",NA,1036,"4–11 Nov 2020",2020-11-11,2023-12-10,1124,"63.4",8.7,29.2,20.5,15.7,11.5,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intención de voto y valoración de líderes políticos (noviembre 2020)","https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-noviembre-2020/"
"89","Celeste-Tel/Onda Cero","Celeste-Tel","Onda Cero",1100,"4–9 Nov 2020",2020-11-09,2023-12-10,1126,"64.2",5.2,27.7,22.5,15.3,11.8,6.7,3.8,2.5,2.1,1.5,1.2,1,0.5,0.9,0.4,0.2,"Estudio electoral de expectiva de voto al Congreso de los Diputados. Ámbito nacional. Noviembre de 2020","https://www.celeste-tel.es/wp-content/uploads/2020/12/Bar%C3%B3metro-Electoral-Mensual-Noviembre2020.pdf"
"90","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1263,"6–7 Nov 2020",2020-11-07,2023-12-10,1128,"",6.2,26.8,20.6,17.5,11.5,7.1,3.3,2.4,2.7,1.5,1.3,0.7,0.5,0.7,0.4,0.2,"ElectoPanel (8N): subida de Pablo Casado, que recupera terreno","https://electomania.es/ep8n20/"
"91","NC Report/La Razón","NC Report","La Razón",1000,"30 Oct–7 Nov 2020",2020-11-07,2023-12-10,1128,"63.1",3.6,26.8,23.2,15.9,11.5,7.2,3.5,2.1,2.5,1.5,1.3,0.8,0.4,0.8,0.4,0.2,"La coalición Sánchez-Iglesias se deja un millón de votos en un año","https://www.larazon.es/espana/20201109/l3pp65zztvcfrlczkhwdufzfaq.html"
"92","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1730,"30–31 Oct 2020",2020-10-31,2023-12-10,1135,"",6.9,26.9,20,17.6,11.6,7.4,3.3,2.3,2.7,1.4,1.3,0.7,0.5,0.7,0.4,0.2,"ElectoPanel (1N): Vox sigue reduciendo la distancia que le separa del PP y se acerca al 18%","https://electomania.es/ep1n20/"
"93","Invymark/laSexta","Invymark","laSexta",NA,"26–30 Oct 2020",2020-10-30,2023-12-10,1136,"",5.3,28.5,23.2,14.7,11,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barómetro laSexta. El PSOE ganaría las elecciones y el PP sube más de dos puntos respecto al 10-N","https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-ganaria-las-elecciones-y-el-pp-sube-mas-de-dos-puntos-respecto-al-10-n_202011015f9eb95f9a1c4e000164b116.html"
"94","DYM/Henneo","DYM","Henneo",1006,"22–23 Oct 2020",2020-10-23,2023-12-10,1143,"",0.5,25,24.5,16.6,10.3,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"El PP sube tras la moción y casi iguala en intención de voto al PSOE","https://www.20minutos.es/noticia/4430577/0/pp-primera-fuerza-mocion-gobernar-vox-cs-encuesta-dym/"
"95","Sigma Dos/El Mundo","Sigma Dos","El Mundo",1000,"22–23 Oct 2020",2020-10-23,2023-12-10,1143,"",5.3,29.3,24,14.9,11.8,6.8,3,1,2,1.9,NA,NA,NA,NA,NA,NA,"La moción de censura refuerza a Pedro Sánchez y los votantes del PP respaldan a Pablo Casado","https://www.elmundo.es/espana/2020/10/24/5f9481f2fdddff74498b4625.html"
"96","Hamalgama Métrica/OKDiario","Hamalgama Métrica","OKDiario",1000,"21–23 Oct 2020",2020-10-23,2023-12-10,1143,"",3.8,26.9,23.1,15.7,12.6,6.1,3.6,NA,NA,NA,NA,NA,NA,NA,0.4,NA,"El PP pierde 11 escaños respecto a mayo y se queda con 100, el PSOE lidera con 109 y Vox sube a 58","https://okdiario.com/espana/pp-pierde-11-escanos-respecto-mayo-queda-100-psoe-lidera-109-vox-sube-58-6324174"
"97","ElectoPanel/Electomanía","ElectoPanel","Electomanía",4772,"19–22 Oct 2020",2020-10-22,2023-12-10,1144,"",6.8,27,20.2,17.4,11.6,7.5,3.3,2.3,2.6,1.4,1.3,0.7,0.5,0.6,0.4,0.2,"ElectoPanel express (22oct): la moción no produce grandes vuelcos, aunque Vox araña algo de voto a PP y Cs","https://electomania.es/ep22o20/"
"98","KeyData/Público","KeyData","Público",NA,"20 Oct 2020",2020-10-20,2023-12-10,1146,"66.6",5,27.4,22.4,15.5,11.5,6.9,3.5,1.9,2.3,1.6,1.1,0.9,0.5,NA,NA,NA,"La gestión de la pandemia erosiona levemente a la coalición de Gobierno, mientras la derecha crece, pero no suma","https://www.publico.es/politica/gestion-pandemia-erosiona-levemente-coalicion.html"
"99","SocioMétrica/El Español","SocioMétrica","El Español",2103,"15–17 Oct 2020",2020-10-17,2023-12-10,1149,"",3.8,26.6,22.8,16.3,10.5,7.1,3.2,2.5,3,1.8,1.3,NA,0.4,0.7,0.4,0.3,"El repunte de Vox frena al PP y amplía la ventaja del PSOE como primera fuerza","https://www.elespanol.com/espana/politica/20201018/repunte-vox-pp-sanchez-sondeo-publica-espanol/529197669_0.html"
"100","NC Report/La Razón","NC Report","La Razón",1000,"13–17 Oct 2020",2020-10-17,2023-12-10,1149,"62.6",3.4,27,23.6,15.6,11.4,6.3,3.4,NA,2.6,1.5,1.2,NA,NA,NA,NA,NA,"Encuesta NC Report: El bloque de centro derecha sube ante la moción de Vox","https://www.larazon.es/espana/20201018/xslzb4tpajh5vne6jm57jz37fy.html"
"101","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1450,"12–16 Oct 2020",2020-10-16,2023-12-10,1150,"",6.6,27,20.4,17,11.6,7.7,3.3,2.3,2.7,1.5,1.3,0.7,0.5,0.7,0.4,0.2,"ElectoPanel (18o): Vox en máximos con el 17%, Unidas Podemos supera los 30 escaños","https://electomania.es/ep18o20/"
"102","GIPEyOP","GIPEyOP",NA,1955,"23 Sep–14 Oct 2020",2020-10-14,2023-12-10,1152,"59.4",1.3,21,17.4,19.7,14.7,5.5,3.7,4.1,3.1,1.8,1.6,2.1,0.5,1.1,0.1,NA,"Informe Preliminar GIPEyOP. Encuesta COVID-19 (Octubre 2020)","https://www.uv.es/pavia/Informe_GIPEyOP_encuesta_COVID_octubre.pdf"
"103","Sigma Dos/Antena 3","Sigma Dos","Antena 3",NA,"10 Oct 2020",2020-10-10,2023-12-10,1156,"",4,28.1,24.1,14,12.4,7.2,3.2,0.9,1.7,1.9,NA,NA,NA,NA,NA,NA,"Barómetro: el PP recorta distancia al PSOE, que se mantiene primero en intención de voto","https://www.antena3.com/noticias/espana/barometro-recorta-distancia-psoe-que-mantiene-primero-intencion-voto_202010105f81ad247c72380001caebf1.html"
"104","Invymark/laSexta","Invymark","laSexta",NA,"5–9 Oct 2020",2020-10-09,2023-12-10,1157,"",6.1,28.8,22.7,15.1,11.1,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barómetro laSexta. El PSOE ganaría ahora las elecciones con un 28,8% de los votos","https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-ganaria-ahora-las-elecciones-con-un-288-de-los-votos_202010115f82f93b7c72380001cc5a2a.html"
"105","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1265,"5–9 Oct 2020",2020-10-09,2023-12-10,1157,"",6.4,27.1,20.7,16.7,11.5,7.9,3.3,2.2,2.7,1.4,1.2,0.7,0.5,0.6,0.4,0.2,"ElectoPanel (11oct): Vox se recupera de la bajada anterior en un escenario estable en cuanto a tendencias, inestable en cuanto a pactos","https://electomania.es/ep11oct20/"
"106","Simple Lógica","Simple Lógica",NA,1060,"1–9 Oct 2020",2020-10-09,2023-12-10,1157,"63.6",7.7,27.2,19.5,17.1,11,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intención de voto y valoración de líderes políticos (octubre 2020)","https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-octubre-2020/"
"107","CIS","CIS",NA,2924,"1–7 Oct 2020",2020-10-07,2023-12-10,1159,"",11.9,30.8,18.9,12.5,11.7,8.8,3.3,1.8,1.8,1.3,1.1,0.5,0.2,0.5,0.4,0.2,"Barómetro de octubre 2020 (Estudio nº 3296. Octubre 2020)","http://datos.cis.es/pdf/Es3296marMT_A.pdf"
"108","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1265,"1–3 Oct 2020",2020-10-03,2023-12-10,1163,"",6.4,27.1,20.7,16.4,11.4,8.3,3.4,2.2,2.6,1.4,1.2,0.7,0.5,0.6,0.4,0.2,"ElectoPanel (4oct): el PP da un pequeño bocado a Vox, UP hace lo propio con el PSOE","https://electomania.es/ep4oct20/"
"109","GAD3/ABC","GAD3","ABC",960,"28 Sep–2 Oct 2020",2020-10-02,2023-12-10,1164,"",3.5,27.3,23.8,14.6,11.3,5.8,3.5,1.5,1.9,1.9,1.2,0.8,0.4,0.8,0.4,0.3,"Vox aumenta en 13 diputados desde julio y el PP pierde 18","https://www.abc.es/espana/abci-aumenta-13-diputados-desde-julio-y-pp-pierde-18-202010050208_noticia.html"
"110","Invymark/laSexta","Invymark","laSexta",NA,"21–25 Sep 2020",2020-09-25,2023-12-10,1171,"",7.3,29.1,21.8,14.6,11.6,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barómetro laSexta. El PSOE lidera en intención de voto a más de 4 puntos de distancia del PP","https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-lidera-en-intencion-de-voto-con-mas-de-4-puntos-de-distancia-del-pp_202012205fdf4e76ae19b30001f68e10.html"
"111","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1410,"22–25 Sep 2020",2020-09-25,2023-12-10,1171,"",7.2,27.4,20.2,16.9,10.9,8.4,3.4,2.3,2.7,1.4,1.2,0.7,0.5,0.6,0.4,0.2,"ElectoPanel (27S): Vox rompe la barrera de los 60 escaños, roza el 17% y se sitúa a 3p del PP","https://electomania.es/ep27s20/"
"112","DYM/Henneo","DYM","Henneo",1008,"16–20 Sep 2020",2020-09-20,2023-12-10,1176,"",1.8,25.8,24,13.7,10.8,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"El PP se acerca al PSOE en intención de voto","https://www.diariodenavarra.es/noticias/actualidad/nacional/2020/09/23/la-segunda-ola-covid-apenas-desgasta-partido-sanchez-702661-1031.html"
"113","Demoscopia y Servicios/ESdiario","Demoscopia y Servicios","ESdiario",1000,"17–19 Sep 2020",2020-09-19,2023-12-10,1177,"",2.2,25.7,23.5,15.3,13.2,6.5,3.1,1.6,2.7,1.5,1.4,0.9,0.4,0.6,0.4,0.3,"Sondeo ESdiario: Sánchez frena su caída a costa del desgaste de las comunidades","https://www.esdiario.com/510321687/Sondeo-ESdiario-Sanchez-frena-su-caida-a-costa-del-desgaste-de-las-comunidades.html"
"114","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1632,"16–19 Sep 2020",2020-09-19,2023-12-10,1177,"",7.2,27.3,20.1,16.6,11.1,8.7,3.4,2.2,2.6,1.5,1.2,0.7,0.5,0.7,0.4,0.2,"ElectoPanel (20S): escenario estable, con el PSOE manteniendo el 27% y el PP a punto de perder el 20","https://electomania.es/ep20s20/"
"115","NC Report/La Razón","NC Report","La Razón",1000,"15–19 Sep 2020",2020-09-19,2023-12-10,1177,"62.4",2.7,26.8,24.1,15.2,11.3,6.3,3.4,2.4,2.6,1.5,1.2,NA,NA,NA,0.4,NA,"Encuesta NC Report: La coalición se deja 13 escaños","https://www.larazon.es/espana/20200921/osw3ayszybesjottjov3lq2h54.html"
"116","KeyData/Público","KeyData","Público",NA,"18 Sep 2020",2020-09-18,2023-12-10,1178,"67.2",4.9,27.7,22.8,14.7,11.4,7.7,3.6,1.9,2.3,1.6,1.2,0.9,0.5,NA,NA,NA,"El Gobierno de coalición resiste en las encuestas casi un año después de las elecciones y pese a la covid-19","https://www.publico.es/politica/encuestas-electorales-gobierno-coalicion-resiste-encuestas-ano-despues-elecciones-pese-covid-19.html"
"117","Metroscopia","Metroscopia",NA,NA,"17 Sep 2020",2020-09-17,2023-12-10,1179,"59",7.3,28.3,21,17.5,10.2,5.7,2.7,NA,NA,NA,NA,NA,NA,NA,0.4,NA,"Tiempos revueltos, tiempos propicios para Vox","https://cincodias.elpais.com/cincodias/2020/09/24/opinion/1600954147_716480.html"
"118","Invymark/laSexta","Invymark","laSexta",NA,"7–11 Sep 2020",2020-09-11,2023-12-10,1185,"",6.2,28.6,22.4,14.5,11.3,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barómetro laSexta: un 60% de los encuestados prefiere a Ciudadanos antes que a los partidos independentistas para pactar los Presupuestos","https://www.lasexta.com/noticias/nacional/barometro-lasexta-un-60-de-los-encuestados-prefiere-a-ciudadanos-antes-que-a-los-partidos-independentistas-para-pactar-los-presupuestos_202009135f5e0e35653ee200019a7e07.html"
"119","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1227,"7–11 Sep 2020",2020-09-11,2023-12-10,1185,"",6.7,27,20.3,16.6,11.1,8.6,3.4,2.2,2.7,1.3,1.2,0.7,0.5,0.6,0.4,0.2,"ElectoPanel (13S): bajan PP y PSOE, suben UP y Cs. Vox se sigue acercando al PP","https://electomania.es/avanceep13s20/"
"120","Simple Lógica","Simple Lógica",NA,1065,"1–11 Sep 2020",2020-09-11,2023-12-10,1185,"63.4",6,28.1,22.1,15.8,12.3,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intención de voto y valoración de líderes políticos (septiembre 2020)","https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-septiembre-2020/"
"121","CIS","CIS",NA,2904,"1–7 Sep 2020",2020-09-07,2023-12-10,1189,"",13.4,31.5,18.1,11.7,12.2,10.6,2.8,1.5,1.7,1.2,0.8,0.6,0.6,0.8,0.5,0.2,"Barómetro de septiembre 2020 (Estudio nº 3292. Septiembre 2020)","http://datos.cis.es/pdf/Es3292marMT_A.pdf"
"122","Sigma Dos/Antena 3","Sigma Dos","Antena 3",NA,"6 Sep 2020",2020-09-06,2023-12-10,1190,"",3.6,28.9,25.3,13.5,12.1,6.2,3.3,0.9,1.6,1.9,NA,NA,NA,NA,NA,NA,"Barómetro: PP y PSOE suben en intención de voto con los populares recortando distancia, mientras el resto de formaciones pierden apoyo","https://www.antena3.com/noticias/espana/barometro-psoe-suben-intencion-voto-populares-recortando-distancia-mientras-resto-formaciones-pierden-apoyo_202009065f54da034ac60a0001157c29.html"
"123","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1240,"30 Aug–3 Sep 2020",2020-09-03,2023-12-10,1193,"",6.7,27.5,20.8,16.4,10.6,8.2,3.4,2.3,2.7,1.4,1.2,0.7,0.5,0.7,0.4,0.2,"ElectoPanel (6S): caída de UP, que vuelve al 10%. Vox sube y roza el 16,5% y los 60 escaños","https://electomania.es/ep6s20/"
"124","SocioMétrica/El Español","SocioMétrica","El Español",1620,"28–30 Aug 2020",2020-08-30,2023-12-10,1197,"",3.2,27.3,24.1,14.3,9.6,8.7,3.4,2.3,2.7,1.7,1.3,0.8,0.6,0.6,0.4,0.2,"Podemos cae al 9,6%, su intención de voto más baja desde que en 2015 llegó al Congreso de los Diputados","https://www.elespanol.com/espana/politica/20200831/podemos-intencion-voto-baja-llego-congreso-diputados/516948831_0.html"
"125","NC Report/La Razón","NC Report","La Razón",1000,"25–29 Aug 2020",2020-08-29,2023-12-10,1198,"62.1",2.2,26.9,24.7,15,10.7,5.7,3.5,2.4,2.5,1.5,1.3,NA,NA,NA,NA,NA,"Encuesta electoral: La moción de Vox da aire a Sánchez","https://www.larazon.es/espana/20200831/2plhyftsyjbltbdokw44jnf66a.html"
